id,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page,End Page
1,"Knows","Harry Potter","Dudley Dursley","0","The Midnight Duel","107","107"
3,"Knows","Petunia Dursley","Vernon Dursley","1","The Boy Who Lived","107",""
4,"Exchange","Vernon Dursley","Petunia Dursley","1","The Boy Who Lived","7","7"
5,"Exchange","Petunia Dursley","Dudley Dursley","1","The Boy Who Lived","7","7"
6,"Exchange","Vernon Dursley","Dudley Dursley","1","The Boy Who Lived","7","7"
7,"Knows","Lily Potter","Petunia Dursley","1","The Boy Who Lived","7","7"
8,"Knows","Lily Potter","James Potter","1","The Boy Who Lived","7","7"
9,"Knows","Harry Potter","Lily Potter","1","The Boy Who Lived","7","7"
10,"Knows","Harry Potter","James Potter","1","The Boy Who Lived","7","7"
11,"Knows","Petunia Dursley","Neighbours (of the Dursleys)","1","The Boy Who Lived","7","7"
12,"Knows of","Harry Potter","Voldemort","1","Through the Trapdoor","191","191"
13,"Knows","Vernon Dursley","Professor McGonagall","0","The Boy Who Lived","7","7"
14,"Knows","Harry Potter","Fuffy","1","Through the Trapdoor","191","191"
15,"Knows","Vernon Dursley","People in cloaks","0","The Boy Who Lived","7","7"
16,"Exchange","People in cloaks","People in cloaks","1","The Boy Who Lived","8","8"
17,"Knows","Harry Potter","Professor Flitwick","1","Through the Trapdoor","191","191"
18,"Knows","Vernon Dursley","man in emerald green cloak","1","The Boy Who Lived","8","8"
19,"Knows","Harry Potter","Professor McGonagall","1","Through the Trapdoor","191","191"
20,"Exchange","Vernon Dursley","five different people","0","The Boy Who Lived","9","9"
21,"Knows","Harry Potter","Neville Longbottom","1","Through the Trapdoor","191","191"
22,"Knows","Harry Potter","Hermione Granger","1","Through the Trapdoor","191","191"
23,"Knows","Harry Potter","Ronald Weasley","1","Through the Trapdoor","191","191"
24,"Knows","Hermione Granger","Ronald Weasley","1","Through the Trapdoor","191","191"
25,"Knows of","People in cloaks","Lily Potter","0","The Boy Who Lived","9","9"
26,"Knows of","People in cloaks","James Potter","0","The Boy Who Lived","9","9"
27,"Knows of","People in cloaks","Harry Potter","0","The Boy Who Lived","9","9"
28,"Knows of","Hermione Granger","Voldemort","1","Through the Trapdoor","191","191"
29,"Knows of","Ronald Weasley","Voldemort","1","Through the Trapdoor","191","191"
30,"Exchange","Vernon Dursley","Tiny old man","1","The Boy Who Lived","9","10"
31,"Knows","Harry Potter","Severus Snape","1","Through the Trapdoor","191","191"
