leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
8,61,30,"Valentina Nikolaevna",219.0000,38.73,"Olya/Olga (30.3); Diana (21.9); Olya's mother (15.3); Valentina's Husband (name?) (15.1); Dr. Popkov (11.7)",,
4,52,7,"Ksyusha/Ksenia Adukanov",456.0000,69.96,"Ruslan (27.9); Chander (26.9); Alisa (26.1); The dance troupe (20.4); Margarita Anatolyevna (17.5)",,
1,45,32,"Marina Alexandrovna",684.0000,100.00,"Alyona Golosovsky (60.3); Sophia Golosovsky (58.1); Chegga/Sergei Adukanov (55.5); the kidnappING (37.5); Yegor Gusakov (33.2)",,
0,37,28,"Lada",162.0000,31.22,"Kristina (23.3); Masha/Mashenka Zakotnova (21.7); Kristina's cousin (14.9); Kristina's boyfriend (11.7); Masha's parents (11.7)",,
6,37,22,"Oksana",230.0000,40.18,"Katya/Ekaterina (31.3); Max/Maxim (27.0); Malysh (Oksana's dog) (18.6); Anton (16.9); the kidnappER (15.1)",,
3,33,12,"Natasha/Natalia",467.0000,71.41,"Alla Innokentevna (54.3); Lilia Solodikova (41.2); Anfisa (33.5); Denis (30.6); Lilia's Kidnapping/Disappearance (25.9)",,
7,24,16,"Revmira",172.0000,32.53,"Artyom (19.6); Gleb (13.4); Inna (Artyom's Teammate's Wife) (12.2); Revmira's Father (11.7); Revmira's Mother (11.7)",,
2,22,10,"Nadia/Nadezhda",251.0000,42.94,"Mila/Ludmila (25.9); Baba / Nadia's Mother (21.5); Nadia's father (18.8); Slava Bychkov (16.9); School Attendant (154-155) (10.9)",,
9,14,17,"Kolya/Nikolai Danilovich / Lieutenant Ryakhovsky",267.0000,45.05,"Zoya (32.0); Fedya (18.3); Dima (17.5); Sasha/Alexandra (15.7); Tatyana Yurievna (13.4)",,
5,9,359,"dancers (218)",44.0000,15.67,"Nurgenek Festival Attendees (14.1); a native craftsman (11.4); volunteer (221) (11.4); Russians (generally??) (11.3); boy (221) (11.2)",,
