id,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page,End Page
1,"Knows","Test 1","Test 2","1","Test A","6","8"
2,"Exchange","Test 3","Test 4","1","Test A","12","14"
3,"Exchange","Test 1","Test 4","1","Test A","15","15"
4,"Knows","Scout Finch","Dill Harris","1","15","193","194"
5,"Knows","Scout Finch","Alexandra Finch","1","15","193","193"
6,"Exchange","Scout Finch","Atticus Finch","1","15","193","193"
7,"Knows","Scout Finch","Jem Finch","1","15","193","193"
8,"Knows","Dill Harris","Alexandra Finch","1","15","193","193"
9,"Knows","Dill Harris","Atticus Finch","1","15","193","193"
10,"Knows","Dill Harris","Jem Finch","1","15","193","193"
11,"Knows","Alexandra Finch","Atticus Finch","1","15","193","193"
12,"Knows","Alexandra Finch","Jem Finch","1","15","193","193"
13,"Exchange","Atticus Finch","Jem Finch","1","15","193","193"
14,"Knows","Dill Harris","Boo Radley","1","15","193","193"
15,"Knows","Scout Finch","Boo Radley","1","15","193","193"
16,"Exchange","Jem Finch","Heck Tate","1","15","193","193"
17,"Exchange","Scout Finch","Jem Finch","1","1","3","3"
18,"Knows","Scout Finch","Mayella Ewell","1","1","3","3"
19,"Knows","Scout Finch","Bob Ewell","1","1","3","3"
20,"Knows","Jem Finch","Mayella Ewell","1","1","3","3"
21,"Knows","Jem Finch","Bob Ewell","1","1","3","3"
22,"Knows","Scout Finch","Dill Harris","1","1","3","3"
23,"Knows","Jem Finch","Dill Harris","1","1","3","3"
25,"Knows","Jem Finch","Boo Radley","1","1","3","3"
26,"Knows","Scout Finch","Boo Radley","1","1","3","3"
27,"Knows of","Dill Harris","Boo Radley","1","1","3","3"
28,"Knows of","Scout Finch","General Andrew Jackson","0","1","3","3"
29,"Knows of","Jem Finch","General Andrew Jackson","0","1","3","3"
30,"Knows of","Scout Finch","Simon Finch","0","1","3","6"
31,"Knows of","Jem Finch","Simon Finch","0","1","3","3"
32,"Knows of","Simon Finch","General Andrew Jackson","0","1","3","3"
33,"Knows of","Atticus Finch","General Andrew Jackson","1","1","3","3"
34,"Knows","Atticus Finch","Simon Finch","1","1","3","6"
35,"Knows","Atticus Finch","Dill Harris","1","1","3","3"
36,"Knows","Atticus Finch","Boo Radley","1","1","3","3"
37,"Knows","Atticus Finch","Bob Ewell","1","1","3","3"
38,"Knows","Atticus Finch","Mayella Ewell","1","1","3","3"
39,"Exchange","Scout Finch","Atticus Finch","1","1","3","3"
40,"Exchange","Jem Finch","Atticus Finch","1","1","3","3"
41,"Knows","Simon Finch","Methodists","1","1","4","4"
43,"Knows of","Scout Finch","Methodists","0","1","4","4"
44,"Knows of","Simon Finch","John Wesley","0","1","4","4"
45,"Knows of","Scout Finch","John Wesley","0","1","4","4"
46,"Knows of","Simon Finch","God","1","1","4","4"
47,"Knows of","Scout Finch","God","1","1","4","4"
48,"Exchange","Simon Finch","""Three slaves""","1","1","4","4"
49,"Knows of","Scout Finch","""Three slaves""","0","1","4","4"
50,"Knows of","Scout Finch","""Three slaves""","0","1","4","4"
51,"Exchange","Simon Finch","Simon Finch's wife","1","1","4","4"
52,"Knows of","Scout Finch","Simon Finch's wife","0","1","4","4"
53,"Knows","Atticus Finch","John Hale ""Jack"" Finch","1","1","5","6"
54,"Knows","Atticus Finch","Alexandra Finch","1","1","5","5"
55,"Knows","Alexandra Finch","John Hale ""Jack"" Finch","1","1","5","5"
56,"Knows","Alexandra Finch","Simon Finch","1","1","5","5"
57,"Knows","John Hale ""Jack"" Finch","Simon Finch","1","1","5","5"
58,"Exchange","Alexandra Finch","Jimmy Hancock","1","1","5","5"
59,"Knows","Atticus Finch","Jimmy Hancock","1","1","5","5"
60,"Knows","John Hale ""Jack"" Finch","Jimmy Hancock","1","1","5","5"
61,"Knows","Scout Finch","Jimmy Hancock","1","1","5","5"
62,"Exchange","Atticus Finch","The Haverfords","1","1","5","5"
63,"Knows","Scout Finch","Alexandra Finch","1","1","5","5"
64,"Knows","Scout Finch","John Hale ""Jack"" Finch","1","1","5","6"
65,"Knows","Scout Finch","Atticus Finch","1","1","5","7"
66,"Knows of","Scout Finch","The Haverfords","0","1","5","5"
67,"Exchange","The Haverfords","Maycomb's leading blacksmith","1","1","5","5"
68,"Knows of","Scout Finch","Maycomb's leading blacksmith","0","1","5","5"
69,"Exchange","John Taylor (Judge)","The Haverfords","1","1","5","5"
70,"Exchange","Atticus Finch","John Taylor (Judge)","1","1","5","5"
71,"Knows of","Scout Finch","John Taylor (Judge)","1","1","5","5"
72,"Knows","Scout Finch","Jem Finch","1","1","6","7"
73,"Knows","Scout Finch","Calpurnia","1","1","6","7"
74,"Knows","Jem Finch","Calpurnia","1","1","6","7"
75,"Knows","Atticus Finch","[NULL]","1","1","6","7"
76,"Knows","Atticus Finch","Jem Finch","1","1","6","7"
77,"Knows","Atticus Finch","Calpurnia","1","1","6","7"
78,"Knows of","Scout Finch","Mother (of Scout and Jem)","0","1","7","7"
79,"Knows","Jem Finch","Mother (of Scout and Jem)","1","1","7","7"
80,"Knows","Atticus Finch","Mother (of Scout and Jem)","1","1","7","7"
81,"Knows","Scout Finch","Mrs. Dubose","1","1","7","7"
82,"Knows","Jem Finch","Mrs. Dubose","1","1","7","7"
83,"Knows","Calpurnia","Mrs. Dubose","1","1","7","7"
84,"Knows of","Scout Finch","Boo Radley","0","1","7","7"
85,"Knows of","Jem Finch","Boo Radley","0","1","7","7"
86,"Knows","Jem Finch","Dill Harris","1","1","7","7"
87,"Knows","Scout Finch","Dill Harris","1","1","7","7"
88,"Knows","Jem Finch","Miss Rachel Haverford","1","1","7","8"
89,"Knows","Scout Finch","Miss Rachel Haverford","1","1","7","8"
90,"Exchange","Scout Finch","Jem Finch","1","1","8","9"
91,"Exchange","Scout Finch","Dill Harris","1","1","8","9"
92,"Exchange","Jem Finch","Dill Harris","1","1","8","9"
93,"Knows","Dill Harris","Miss Rachel Haverford","1","1","8","8"
94,"Knows","Dill Harris","Dill's mother","1","1","8","9"
95,"Knows of","Jem Finch","Dill's mother","0","1","8","9"
96,"Knows of","Scout Finch","Dill's mother","0","1","8","9"
97,"Knows of","Dill Harris","Dracula","0","1","9","9"
98,"Knows of","Jem Finch","Dracula","0","1","9","9"
99,"Knows of","Scout Finch","Dracula","0","1","9","9"
100,"Knows of","Dill Harris","Dill's father","1","1","9","9"
101,"Knows of","Scout Finch","Dill's father","0","1","9","9"
102,"Knows","Jem Finch","Dill's father","0","1","9","9"
103,"Knows of","Scout Finch","Oliver Optic","0","1","9","9"
104,"Knows of","Dill Harris","Oliver Optic","0","1","9","9"
105,"Knows of","Jem Finch","Oliver Optic","0","1","9","9"
106,"Knows of","Scout Finch","Victor Appleton","0","1","9","9"
107,"Knows of","Jem Finch","Victor Appleton","0","1","9","9"
108,"Knows of","Dill Harris","Victor Appleton","0","1","9","9"
109,"Knows of","Scout Finch","Edgar Rice Burroughs","0","1","9","9"
110,"Knows of","Dill Harris","Edgar Rice Burroughs","0","1","9","9"
111,"Knows of","Jem Finch","Edgar Rice Burroughs","0","1","9","9"
112,"Knows of","Scout Finch","Tarzan","0","1","9","9"
113,"Knows of","Dill Harris","Tarzan","0","1","9","9"
114,"Knows of","Jem Finch","Tarzan","0","1","9","9"
115,"Knows of","Dill Harris","Mr. Crabtree (The Rover Boys)","0","1","9","9"
116,"Knows of","Scout Finch","Mr. Crabtree (The Rover Boys)","0","1","9","9"
117,"Knows of","Jem Finch","Mr. Crabtree (The Rover Boys)","0","1","9","9"
118,"Knows of","Scout Finch","Mr. Damon (Tom Swift)","0","1","10","10"
119,"Knows of","Dill Harris","Mr. Damon (Tom Swift)","0","1","10","10"
120,"Knows of","Jem Finch","Mr. Damon (Tom Swift)","0","1","10","10"
121,"Knows of","Scout Finch","Merlin","0","1","10","10"
122,"Knows of","Jem Finch","Merlin","0","1","10","10"
123,"Knows of","Jem Finch","Boo Radley","1","1","10","10"
124,"Knows of","Scout Finch","Boo Radley","1","1","10","19"
125,"Knows of","Dill Harris","Boo Radley","1","1","10","10"
126,"Knows of","Scout Finch","Crazy Addie","0","1","10","11"
127,"Knows of","Scout Finch","""A N***o"" (11)","0","1","11","11"
128,"Knows of","""A N***o"" (11)","Mr. Radley","1","1","11","11"
129,"Knows of","""A N***o"" (11)","Mrs. Radley","1","1","11","11"
130,"Knows of","""A N***o"" (11)","Boo Radley","1","1","11","11"
131,"Knows","Scout Finch","Mr. Radley","1","1","11","13"
132,"Knows","Jem Finch","Mr. Radley","1","1","11","11"
133,"Knows","Scout Finch","Mrs. Radley","1","1","11","13"
134,"Knows","Mrs. Radley","The Radleys' neighbours","1","1","11","11"
135,"Knows of","Scout Finch","The Radleys' neighbours","0","1","11","11"
136,"Knows","Mrs. Radley","Nathan Radley","1","1","11","15"
137,"Knows","Scout Finch","Nathan Radley","1","1","11","15"
138,"Knows","Mr. Radley","Nathan Radley","1","1","11","15"
139,"Knows","Boo Radley","Nathan Radley","1","1","11","15"
140,"Knows","Mr. Radley","Boo Radley","1","1","11","15"
141,"Knows","Mrs. Radley","Boo Radley","1","1","11","15"
142,"Knows","Mr. Radley","Mrs. Radley","1","1","11","15"
143,"Knows","Scout Finch","Atticus Finch","1","1","12","12"
144,"Exchange","Boo Radley","The Cunninghams","1","1","12","13"
145,"Exchange","Boo Radley","Mr. Conner","1","1","12","12"
146,"Exchange","The Cunninghams","Mr. Conner","1","1","12","12"
147,"Knows of","Scout Finch","The Cunninghams","1","1","12","13"
148,"Exchange","Boo Radley","John Taylor (Judge)","1","1","12","12"
149,"Exchange","The Cunninghams","John Taylor (Judge)","1","1","12","12"
150,"Exchange","John Taylor (Judge)","Mr. Conner","1","1","12","12"
151,"Exchange","Mr. Radley","John Taylor (Judge)","1","1","13","13"
152,"Knows","Mr. Radley","The Cunninghams","1","1","12","13"
153,"Knows","Atticus Finch","Mr. Radley","1","1","13","13"
154,"Knows","Atticus Finch","Mrs. Radley","1","1","13","13"
155,"Knows","Atticus Finch","Boo Radley","1","1","13","13"
